model,difficulty,rows,unique_prompts,total_input_tokens,total_output_tokens,total_tokens,total_input_cost_usd,total_output_cost_usd,total_cost_usd,avg_cost_per_prompt_usd,avg_input_tokens,avg_output_tokens,avg_total_tokens,estimated_cost_per_1000_prompts_usd
minimax/minimax-m2.7,easy,60,60,19487,30950,50437,0.0058461,0.03714,0.0429861,0.000716435,324.78333333333336,515.8333333333334,840.6166666666667,0.7164349999999999
minimax/minimax-m2.5,easy,60,60,19559,36071,55630,0.0058677,0.043285199999999996,0.0491529,0.000819215,325.98333333333335,601.1833333333333,927.1666666666666,0.819215
minimax/minimax-m3,easy,60,60,28799,39656,68455,0.008639699999999998,0.047587199999999996,0.056226899999999996,0.000937115,479.98333333333335,660.9333333333333,1140.9166666666667,0.9371149999999999
qwen/qwen3.7-plus,easy,60,60,21667,82887,104554,0.0086668,0.13261920000000002,0.14128600000000002,0.002354766666666667,361.1166666666667,1381.45,1742.5666666666666,2.354766666666667
qwen/qwen3.6-plus,easy,60,60,21667,76680,98347,0.0108335,0.23004,0.2408735,0.004014558333333333,361.1166666666667,1278.0,1639.1166666666666,4.014558333333333
qwen/qwen3.7-max,easy,60,60,21667,84216,105883,0.0541675,0.63162,0.6857875,0.011429791666666666,361.1166666666667,1403.6,1764.7166666666667,11.429791666666667
minimax/minimax-m2.7,hard,60,60,20261,72097,92358,0.0060783,0.0865164,0.0925947,0.001543245,337.68333333333334,1201.6166666666666,1539.3,1.543245
minimax/minimax-m2.5,hard,60,60,20323,74061,94384,0.0060969,0.0888732,0.0949701,0.001582835,338.71666666666664,1234.35,1573.0666666666666,1.582835
minimax/minimax-m3,hard,60,60,29563,76299,105862,0.008868899999999999,0.0915588,0.1004277,0.0016737949999999998,492.71666666666664,1271.65,1764.3666666666666,1.673795
qwen/qwen3.7-plus,hard,60,60,22441,164602,187043,0.0089764,0.2633632,0.2723396,0.004538993333333334,374.01666666666665,2743.366666666667,3117.383333333333,4.538993333333334
qwen/qwen3.6-plus,hard,60,60,22441,137853,160294,0.0112205,0.413559,0.4247795,0.007079658333333333,374.01666666666665,2297.55,2671.5666666666666,7.079658333333333
qwen/qwen3.7-max,hard,60,60,22441,142971,165412,0.0561025,1.0722825,1.128385,0.018806416666666666,374.01666666666665,2382.85,2756.866666666667,18.806416666666667
minimax/minimax-m2.7,medium,60,60,19804,52727,72531,0.0059412,0.06327239999999999,0.0692136,0.00115356,330.06666666666666,878.7833333333333,1208.85,1.1535600000000001
minimax/minimax-m3,medium,60,60,29108,53790,82898,0.0087324,0.064548,0.0732804,0.00122134,485.1333333333333,896.5,1381.6333333333334,1.22134
minimax/minimax-m2.5,medium,60,60,19868,58256,78124,0.0059604,0.0699072,0.0758676,0.0012644599999999998,331.1333333333333,970.9333333333333,1302.0666666666666,1.2644599999999997
qwen/qwen3.7-plus,medium,60,60,21978,117432,139410,0.0087912,0.1878912,0.1966824,0.0032780400000000003,366.3,1957.2,2323.5,3.2780400000000003
qwen/qwen3.6-plus,medium,60,60,21978,110808,132786,0.010989,0.332424,0.343413,0.00572355,366.3,1846.8,2213.1,5.72355
qwen/qwen3.7-max,medium,60,60,21978,113733,135711,0.054945,0.8529975,0.9079425,0.015132375,366.3,1895.55,2261.85,15.132375
