model,use_case,rows,unique_prompts,total_input_tokens,total_output_tokens,total_tokens,total_input_cost_usd,total_output_cost_usd,total_cost_usd,avg_cost_per_prompt_usd,avg_input_tokens,avg_output_tokens,avg_total_tokens,estimated_cost_per_1000_prompts_usd
minimax/minimax-m2.7,customer_support,60,60,33337,13686,47023,0.010001099999999999,0.0164232,0.026424299999999998,0.00044040499999999994,555.6166666666667,228.1,783.7166666666667,0.44040499999999994
minimax/minimax-m2.5,customer_support,60,60,33409,14977,48386,0.010022699999999999,0.0179724,0.0279951,0.000466585,556.8166666666667,249.61666666666667,806.4333333333333,0.46658499999999997
minimax/minimax-m3,customer_support,60,60,42649,15867,58516,0.012794699999999999,0.0190404,0.0318351,0.000530585,710.8166666666667,264.45,975.2666666666667,0.530585
qwen/qwen3.7-plus,customer_support,60,60,37267,59712,96979,0.014906800000000001,0.0955392,0.110446,0.0018407666666666667,621.1166666666667,995.2,1616.3166666666666,1.8407666666666667
qwen/qwen3.6-plus,customer_support,60,60,37267,48254,85521,0.0186335,0.144762,0.1633955,0.0027232583333333333,621.1166666666667,804.2333333333333,1425.35,2.7232583333333333
qwen/qwen3.7-max,customer_support,60,60,37267,66709,103976,0.0931675,0.5003175,0.593485,0.009891416666666668,621.1166666666667,1111.8166666666666,1732.9333333333334,9.891416666666668
minimax/minimax-m2.7,document_understanding,60,60,21044,12308,33352,0.0063132,0.014769599999999999,0.0210828,0.00035138,350.73333333333335,205.13333333333333,555.8666666666667,0.35137999999999997
minimax/minimax-m2.5,document_understanding,60,60,21096,12784,33880,0.0063288,0.0153408,0.0216696,0.00036116,351.6,213.06666666666666,564.6666666666666,0.36116000000000004
minimax/minimax-m3,document_understanding,60,60,30336,16128,46464,0.0091008,0.0193536,0.028454399999999998,0.00047423999999999996,505.6,268.8,774.4,0.47423999999999994
qwen/qwen3.7-plus,document_understanding,60,60,23273,44551,67824,0.0093092,0.0712816,0.0805908,0.00134318,387.8833333333333,742.5166666666667,1130.4,1.34318
qwen/qwen3.6-plus,document_understanding,60,60,23273,42401,65674,0.0116365,0.127203,0.1388395,0.002313991666666667,387.8833333333333,706.6833333333333,1094.5666666666666,2.313991666666667
qwen/qwen3.7-max,document_understanding,60,60,23273,45057,68330,0.0581825,0.3379275,0.39611,0.006601833333333334,387.8833333333333,750.95,1138.8333333333333,6.601833333333333
minimax/minimax-m2.7,website_generation,60,60,5171,129780,134951,0.0015513,0.15573599999999999,0.1572873,0.002621455,86.18333333333334,2163.0,2249.1833333333334,2.621455
minimax/minimax-m3,website_generation,60,60,14485,137750,152235,0.0043454999999999995,0.1653,0.1696455,0.002827425,241.41666666666666,2295.8333333333335,2537.25,2.8274250000000003
minimax/minimax-m2.5,website_generation,60,60,5245,140627,145872,0.0015735,0.1687524,0.1703259,0.002838765,87.41666666666667,2343.7833333333333,2431.2,2.838765
qwen/qwen3.7-plus,website_generation,60,60,5546,260658,266204,0.0022184,0.4170528,0.4192712,0.006987853333333334,92.43333333333334,4344.3,4436.733333333334,6.987853333333334
qwen/qwen3.6-plus,website_generation,60,60,5546,234686,240232,0.002773,0.704058,0.706831,0.011780516666666666,92.43333333333334,3911.4333333333334,4003.866666666667,11.780516666666665
qwen/qwen3.7-max,website_generation,60,60,5546,229154,234700,0.013865,1.718655,1.73252,0.028875333333333333,92.43333333333334,3819.233333333333,3911.6666666666665,28.875333333333334
