prompt_id,use_case,difficulty,rows,unique_prompts,total_input_tokens,total_output_tokens,total_tokens,total_input_cost_usd,total_output_cost_usd,total_cost_usd,avg_cost_per_prompt_usd,avg_input_tokens,avg_output_tokens,avg_total_tokens,estimated_cost_per_1000_prompts_usd
customer_support_easy_01,customer_support,easy,6,1,3685,1750,5435,0.002658,0.0074388,0.0100968,0.0016828,614.1666666666666,291.6666666666667,905.8333333333334,1.6827999999999999
customer_support_easy_02,customer_support,easy,6,1,3632,1240,4872,0.0026196,0.0047107,0.0073303000000000005,0.0012217166666666668,605.3333333333334,206.66666666666666,812.0,1.2217166666666668
customer_support_easy_03,customer_support,easy,6,1,3638,2056,5694,0.0026239,0.0090717,0.011695599999999999,0.0019492666666666664,606.3333333333334,342.6666666666667,949.0,1.9492666666666665
customer_support_easy_04,customer_support,easy,6,1,3641,2425,6066,0.0026273,0.0091225,0.0117498,0.0019583,606.8333333333334,404.1666666666667,1011.0,1.9583000000000002
customer_support_easy_05,customer_support,easy,6,1,3626,1800,5426,0.0026153,0.006953000000000001,0.0095683,0.0015947166666666667,604.3333333333334,300.0,904.3333333333334,1.5947166666666668
customer_support_easy_06,customer_support,easy,6,1,3628,1642,5270,0.0026159,0.0066343999999999995,0.0092503,0.0015417166666666666,604.6666666666666,273.6666666666667,878.3333333333334,1.5417166666666666
customer_support_easy_07,customer_support,easy,6,1,3640,1709,5349,0.0026245,0.0059499,0.0085744,0.0014290666666666666,606.6666666666666,284.8333333333333,891.5,1.4290666666666667
customer_support_easy_08,customer_support,easy,6,1,3616,2572,6188,0.0026073,0.0100956,0.012702899999999998,0.0021171499999999995,602.6666666666666,428.6666666666667,1031.3333333333333,2.1171499999999996
customer_support_easy_09,customer_support,easy,6,1,3644,1554,5198,0.0026282,0.0057546,0.0083828,0.0013971333333333332,607.3333333333334,259.0,866.3333333333334,1.3971333333333331
customer_support_easy_10,customer_support,easy,6,1,3634,2270,5904,0.0026202,0.0089183,0.0115385,0.0019230833333333333,605.6666666666666,378.3333333333333,984.0,1.9230833333333333
customer_support_easy_11,customer_support,easy,6,1,3638,1317,4955,0.0026239,0.0048943,0.0075182,0.0012530333333333333,606.3333333333334,219.5,825.8333333333334,1.2530333333333334
customer_support_easy_12,customer_support,easy,6,1,3638,1394,5032,0.0026239,0.0060097,0.0086336,0.0014389333333333333,606.3333333333334,232.33333333333334,838.6666666666666,1.4389333333333332
customer_support_easy_13,customer_support,easy,6,1,3638,2400,6038,0.0026239,0.008842000000000001,0.011465900000000001,0.0019109833333333336,606.3333333333334,400.0,1006.3333333333334,1.9109833333333335
customer_support_easy_14,customer_support,easy,6,1,3632,1447,5079,0.0026196,0.006241200000000001,0.0088608,0.0014768000000000001,605.3333333333334,241.16666666666666,846.5,1.4768000000000001
customer_support_easy_15,customer_support,easy,6,1,3628,1632,5260,0.0026159,0.0079042,0.0105201,0.0017533499999999999,604.6666666666666,272.0,876.6666666666666,1.75335
customer_support_easy_16,customer_support,easy,6,1,3631,2064,5695,0.0026193,0.0083854,0.0110047,0.0018341166666666665,605.1666666666666,344.0,949.1666666666666,1.8341166666666666
customer_support_easy_17,customer_support,easy,6,1,3634,1542,5176,0.0026202,0.006662700000000001,0.0092829,0.00154715,605.6666666666666,257.0,862.6666666666666,1.54715
customer_support_easy_18,customer_support,easy,6,1,3626,1290,4916,0.0026153,0.0049067,0.007522,0.0012536666666666666,604.3333333333334,215.0,819.3333333333334,1.2536666666666667
customer_support_easy_19,customer_support,easy,6,1,3635,1296,4931,0.002623,0.0050221,0.0076451,0.0012741833333333333,605.8333333333334,216.0,821.8333333333334,1.2741833333333332
customer_support_easy_20,customer_support,easy,6,1,3638,2813,6451,0.0026239,0.011777,0.014400900000000003,0.0024001500000000006,606.3333333333334,468.8333333333333,1075.1666666666667,2.4001500000000004
