model,difficulty,rows,unique_prompts,avg_latency,median_latency,p95_latency,min_latency,max_latency,avg_input_tokens,avg_output_tokens,avg_total_tokens,total_tokens,avg_answer_chars,errors,empty_answers,possible_truncations
minimax/minimax-m2.5,easy,60,60,12.832816666666668,2.866,45.91259999999999,0.702,126.266,325.98333333333335,601.1833333333333,927.1666666666666,55630,1163.75,0,1,2
minimax/minimax-m2.5,hard,60,60,20.1941,8.308,61.12609999999998,1.288,84.626,338.71666666666664,1234.35,1573.0666666666666,94384,2738.6833333333334,0,4,22
minimax/minimax-m2.5,medium,60,60,15.236933333333333,5.4635,46.74059999999996,0.823,77.109,331.1333333333333,970.9333333333333,1302.0666666666666,78124,1628.8166666666666,0,4,9
minimax/minimax-m2.7,easy,60,60,8.4299,3.7409999999999997,27.158949999999997,1.377,44.094,324.78333333333336,515.8333333333334,840.6166666666667,50437,1639.55,0,0,0
minimax/minimax-m2.7,hard,60,60,20.64435,9.3415,52.066849999999995,2.034,106.558,337.68333333333334,1201.6166666666666,1539.3,92358,4030.6,0,0,21
minimax/minimax-m2.7,medium,60,60,11.891533333333333,5.548,43.00635,0.937,49.439,330.06666666666666,878.7833333333333,1208.85,72531,2809.5666666666666,0,0,7
minimax/minimax-m3,easy,60,60,7.28435,2.2955,25.859149999999993,1.144,34.896,479.98333333333335,660.9333333333333,1140.9166666666667,68455,2058.883333333333,0,0,1
minimax/minimax-m3,hard,60,60,12.969583333333333,7.41,29.5414,1.961,31.542,492.71666666666664,1271.65,1764.3666666666666,105862,3517.383333333333,0,0,29
minimax/minimax-m3,medium,60,60,9.125266666666667,5.5905000000000005,26.676249999999996,1.672,30.816,485.1333333333333,896.5,1381.6333333333334,82898,2645.4333333333334,0,1,7
qwen/qwen3.6-plus,easy,60,60,24.882716666666667,8.871,72.09009999999999,4.299,78.517,361.1166666666667,1278.0,1639.1166666666666,98347,1364.4333333333334,0,0,13
qwen/qwen3.6-plus,hard,60,60,43.07836666666666,29.9865,119.3601,6.754,188.567,374.01666666666665,2297.55,2671.5666666666666,160294,2979.8333333333335,0,0,48
qwen/qwen3.6-plus,medium,60,60,35.107283333333335,18.906,94.97975,5.329,120.687,366.3,1846.8,2213.1,132786,2137.5,0,0,33
qwen/qwen3.7-max,easy,60,60,27.206183333333335,14.4095,78.41789999999999,5.002,92.127,361.1166666666667,1403.6,1764.7166666666667,105883,1859.4,0,0,25
qwen/qwen3.7-max,hard,60,60,44.6629,32.527,102.55545,9.592,130.536,374.01666666666665,2382.85,2756.866666666667,165412,3269.733333333333,0,0,51
qwen/qwen3.7-max,medium,60,60,35.69855,22.652,84.71679999999999,4.935,92.039,366.3,1895.55,2261.85,135711,2331.2166666666667,0,0,44
qwen/qwen3.7-plus,easy,60,60,26.755850000000002,11.329,73.33189999999999,5.406,91.489,361.1166666666667,1381.45,1742.5666666666666,104554,1442.0833333333333,0,0,14
qwen/qwen3.7-plus,hard,60,60,55.013983333333336,35.2935,144.08419999999995,11.107,221.46,374.01666666666665,2743.366666666667,3117.383333333333,187043,3114.616666666667,0,0,53
qwen/qwen3.7-plus,medium,60,60,37.66428333333333,20.6965,96.06569999999998,5.851,143.005,366.3,1957.2,2323.5,139410,2073.65,0,0,39
