model,use_case,rows,unique_prompts,avg_latency,median_latency,p95_latency,min_latency,max_latency,avg_input_tokens,avg_output_tokens,avg_total_tokens,total_tokens,avg_answer_chars,errors,empty_answers,possible_truncations
minimax/minimax-m2.5,customer_support,60,60,4.785733333333334,3.9059999999999997,10.942799999999998,0.754,16.399,556.8166666666667,249.61666666666667,806.4333333333333,48386,225.61666666666667,0,1,4
minimax/minimax-m2.5,document_understanding,60,60,3.6581333333333332,2.654,8.784599999999996,0.702,15.081,351.6,213.06666666666666,564.6666666666666,33880,358.8333333333333,0,0,1
minimax/minimax-m2.5,website_generation,60,60,39.81998333333333,38.155,77.22934999999998,12.475,126.266,87.41666666666667,2343.7833333333333,2431.2,145872,4946.8,0,8,28
minimax/minimax-m2.7,customer_support,60,60,5.659633333333334,4.648,13.343599999999986,1.908,24.988,555.6166666666667,228.1,783.7166666666667,47023,233.75,0,0,3
minimax/minimax-m2.7,document_understanding,60,60,5.055733333333333,4.3260000000000005,13.08955,0.937,22.075,350.73333333333335,205.13333333333333,555.8666666666667,33352,361.1166666666667,0,0,1
minimax/minimax-m2.7,website_generation,60,60,30.25041666666667,29.5415,52.066849999999995,3.707,106.558,86.18333333333334,2163.0,2249.1833333333334,134951,7884.85,0,0,24
minimax/minimax-m3,customer_support,60,60,3.5944,3.0635,7.284199999999999,1.278,8.781,710.8166666666667,264.45,975.2666666666667,58516,285.75,0,1,10
minimax/minimax-m3,document_understanding,60,60,4.808033333333333,3.636,11.801399999999997,1.144,16.3,505.6,268.8,774.4,46464,597.2833333333333,0,0,2
minimax/minimax-m3,website_generation,60,60,20.976766666666666,22.180500000000002,31.133499999999998,7.258,34.896,241.41666666666666,2295.8333333333335,2537.25,152235,7338.666666666667,0,0,25
qwen/qwen3.6-plus,customer_support,60,60,16.628483333333335,12.099499999999999,37.33419999999999,6.422,40.251,621.1166666666667,804.2333333333333,1425.35,85521,268.9166666666667,0,0,26
qwen/qwen3.6-plus,document_understanding,60,60,14.396999999999998,9.4555,33.75934999999998,4.299,41.282,387.8833333333333,706.6833333333333,1094.5666666666666,65674,280.76666666666665,0,0,18
qwen/qwen3.6-plus,website_generation,60,60,72.04288333333334,60.921,120.00585,32.86,188.567,92.43333333333334,3911.4333333333334,4003.866666666667,240232,5932.083333333333,0,0,50
qwen/qwen3.7-max,customer_support,60,60,21.536916666666666,18.256,38.34625,8.782,49.068,621.1166666666667,1111.8166666666666,1732.9333333333334,103976,261.75,0,0,53
qwen/qwen3.7-max,document_understanding,60,60,15.345216666666666,10.972000000000001,36.748499999999986,4.935,49.482,387.8833333333333,750.95,1138.8333333333333,68330,315.76666666666665,0,0,19
qwen/qwen3.7-max,website_generation,60,60,70.6855,69.542,102.55545,20.614,130.536,92.43333333333334,3819.233333333333,3911.6666666666665,234700,6882.833333333333,0,0,48
qwen/qwen3.7-plus,customer_support,60,60,19.825466666666667,17.6675,38.70294999999999,6.43,47.986,621.1166666666667,995.2,1616.3166666666666,96979,249.85,0,0,41
qwen/qwen3.7-plus,document_understanding,60,60,15.818299999999999,11.308,38.53955,5.406,50.108,387.8833333333333,742.5166666666667,1130.4,67824,286.71666666666664,0,0,17
qwen/qwen3.7-plus,website_generation,60,60,83.79035,77.8965,144.08419999999995,40.326,221.46,92.43333333333334,4344.3,4436.733333333334,266204,6093.783333333334,0,0,48
