model,use_case,rows,unique_prompts,avg_latency,median_latency,p95_latency,min_latency,max_latency,avg_input_tokens,avg_output_tokens,avg_total_tokens,total_tokens,avg_answer_chars,errors,empty_answers_x,possible_truncations,failure_rate,avg_failure_count,high_latency_count,failure_possible_truncations,empty_answers_y,total_cost_usd,avg_cost_per_prompt_usd,estimated_cost_per_1000_prompts_usd,latency_score,cost_score,failure_score,truncation_score,recommendation_score,rank
minimax/minimax-m2.5,customer_support,60,60,4.785733333333334,3.906,10.942799999999998,0.754,16.399,556.8166666666667,249.61666666666667,806.4333333333333,48386,225.61666666666667,0,1,4,0.0833333333333333,0.1,0,4,1,0.0279951,0.000466585,0.4665849999999999,0.9336027740441465,0.9972299261789681,0.9795918367346939,0.98,0.9702454566151287,1
minimax/minimax-m2.7,customer_support,60,60,5.659633333333334,4.648,13.343599999999986,1.908,24.988,555.6166666666667,228.1,783.7166666666667,47023,233.75,0,0,3,0.0666666666666666,0.0666666666666666,0,3,0,0.0264242999999999,0.0004404049999999,0.4404049999999999,0.8848972319936538,1.0,1.0,1.0,0.965469169598096,2
minimax/minimax-m3,customer_support,60,60,3.5944,3.0635,7.284199999999999,1.278,8.781,710.8166666666667,264.45,975.2666666666668,58516,285.75,0,1,10,0.1666666666666666,0.1833333333333333,0,10,1,0.0318351,0.000530585,0.530585,1.0,0.9904581643552339,0.8775510204081632,0.86,0.9407573982316656,3
qwen/qwen3.6-plus,customer_support,60,60,16.628483333333335,12.0995,37.33419999999999,6.422,40.251,621.1166666666667,804.2333333333333,1425.35,85521,268.9166666666667,0,0,26,0.4333333333333333,0.5833333333333334,9,26,0,0.1633955,0.0027232583333333,2.7232583333333333,0.27356437363394737,0.758454077314821,0.5510204081632653,0.54,0.5185399742760323,4
qwen/qwen3.7-plus,customer_support,60,60,19.825466666666667,17.6675,38.70294999999999,6.43,47.986,621.1166666666667,995.2,1616.3166666666666,96979,249.85,0,0,41,0.6833333333333333,0.85,10,41,0,0.110446,0.0018407666666666,1.8407666666666669,0.09538516986190138,0.8518294425975884,0.2448979591836734,0.24,0.3512871973222532,5
qwen/qwen3.7-max,customer_support,60,60,21.536916666666663,18.256,38.34625,8.782,49.068,621.1166666666667,1111.8166666666666,1732.9333333333334,103976,261.75,0,0,53,0.8833333333333333,1.0833333333333333,12,53,0,0.593485,0.0098914166666666,9.891416666666668,0.0,0.0,0.0,0.0,0.0,6
minimax/minimax-m2.5,document_understanding,60,60,3.658133333333333,2.654,8.784599999999996,0.702,15.081,351.6,213.06666666666663,564.6666666666666,33880,358.8333333333333,0,0,1,0.2,0.2,0,1,0,0.0216696,0.00036116,0.36116,1.0,0.998435313491928,1.0,1.0,0.9996870626983858,1
minimax/minimax-m2.7,document_understanding,60,60,5.055733333333333,4.3260000000000005,13.08955,0.937,22.075,350.7333333333333,205.13333333333333,555.8666666666667,33352,361.1166666666667,0,0,1,0.2,0.2,0,1,0,0.0210828,0.00035138,0.3513799999999999,0.8850673647565137,1.0,1.0,1.0,0.9770134729513027,2
minimax/minimax-m3,document_understanding,60,60,4.808033333333333,3.636,11.801399999999996,1.144,16.3,505.6,268.8,774.4,46464,597.2833333333333,0,0,2,0.2166666666666666,0.2166666666666666,0,2,0,0.0284543999999999,0.0004742399999999,0.4742399999999999,0.9054371513548334,0.9803438257278564,0.9411764705882356,0.9444444444444444,0.9425156725407211,3
qwen/qwen3.7-plus,document_understanding,60,60,15.8183,11.308,38.53955,5.406,50.108,387.8833333333333,742.5166666666667,1130.4,67824,286.71666666666664,0,0,17,0.4666666666666667,0.6166666666666667,8,17,0,0.0805908,0.00134318,1.34318,0.0,0.8413235093347887,0.0588235294117645,0.11111111111111116,0.21401633585388577,4
